im_name_list,im_ref_id_list,slide_num,brain_num
s2_b3_488_594_014.nd2,191.0,2,3
s2_b5_488_594_016.nd2,192.0,2,5
s4_b8_488_594_035.nd2,193.0,4,8
s1_b1_488_594.nd2,194.0,1,1
s1_b2_488_594_002.nd2,195.0,1,2
s5_b8_488_594_043.nd2,196.0,5,8
s4_b5_488_594_032.nd2,197.0,4,5
s1_b5_488_594_005.nd2,198.0,1,5
s3_b6_488_594_025.nd2,199.0,3,6
s4_b4_488_594_031.nd2,200.0,4,4
s3_b8_488_594_027.nd2,201.0,3,8
s6_b6_488_594_049.nd2,202.0,6,6
s6_b5_488_594_048.nd2,203.0,6,5
s3_b3_488_594_022.nd2,204.0,3,3
s4_b1_488_594_028.nd2,205.0,4,1
s5_b5_488_594_040.nd2,206.0,5,5
s5_b4_488_594_039.nd2,207.0,5,4
s1_b4_488_594_004.nd2,208.0,1,4
s4_b7_488_594_034.nd2,209.0,4,7
s1_b3_488_594_003.nd2,210.0,1,3
s3_b2_488_594_021.nd2,211.0,3,2
s4_b3_488_594_030.nd2,212.0,4,3
s1_b9_488_594_009.nd2,213.0,1,9
s6_b3_488_594_046.nd2,214.0,6,3
s3_b4_488_594_023.nd2,215.0,3,4
s1_b11_488_594_010.nd2,216.0,1,11
s5_b3_488_594_038.nd2,217.0,5,3
s1_b6_488_594_006.nd2,218.0,1,6
s2_b8_488_594_019.nd2,219.0,2,8
s5_b2_488_594_037.nd2,220.0,5,2
s6_b7_488_594_050.nd2,221.0,6,7
s6_b4_488_594_047.nd2,222.0,6,4
s6_b1_488_594_044.nd2,223.0,6,1
s3_b5_488_594_024.nd2,224.0,3,5
s5_b6_488_594_041.nd2,225.0,5,6
s2_b1_488_594_012.nd2,226.0,2,1
s1_b8_488_594_008.nd2,227.0,1,8
s4_b6_488_594_033.nd2,228.0,4,6
s5_b7_488_594_042.nd2,229.0,5,7
s2_b7_488_594_018.nd2,230.0,2,7
s3_b7_488_594_026.nd2,231.0,3,7
s1_b7_488_594_007.nd2,232.0,1,7
s2_b4_488_594_015.nd2,233.0,2,4
s2_b6_488_594_017.nd2,234.0,2,6
s1_b12_488_594_011.nd2,235.0,1,12
s4_b2_488_594_029.nd2,236.0,4,2
s6_b2_488_594_045.nd2,237.0,6,2
s6_b8_488_594_051.nd2,238.0,6,8
s2_b2_488_594_013.nd2,239.0,2,2
s5_b1_488_594_036.nd2,240.0,5,1
s3_b1_488_594_020.nd2,241.0,3,1
